Band1, Band2, Band3, Band4, isWater, lat, long
2251,13676,9587,65528,0,42.11856453867895,-83.50121127373103
1734,13756,9735,65528,0,42.11856453867895,-83.48479818070908
1734,13756,9735,65528,0,42.11856453867895,-83.46838508768714
1510,13648,9614,65528,0,42.11856453867895,-83.4519719946652
1812,12786,9842,65528,0,42.11856453867895,-83.43555890164325
1626,13418,10069,65528,0,42.11856453867895,-83.41914580862131
1685,13721,10471,65528,0,42.11856453867895,-83.40273271559937
1909,13508,10328,65528,0,42.11856453867895,-83.38631962257743
1734,14441,10198,65528,0,42.11856453867895,-83.3699065295555
1293,14112,9873,65528,0,42.11856453867895,-83.35349343653354
2000,13670,10523,65528,0,42.11856453867895,-83.3370803435116
3271,14335,10306,65528,0,42.10215144565701,-83.56686364581878
2407,14296,10338,65528,0,42.10215144565701,-83.55045055279685
2305,14488,10914,65528,0,42.10215144565701,-83.53403745977491
2305,14488,10914,65528,0,42.10215144565701,-83.51762436675297
3915,15789,11122,65528,0,42.10215144565701,-83.50121127373103
1799,13175,9759,6206,0,42.10215144565701,-83.48479818070908
1848,12235,9183,6104,0,42.10215144565701,-83.46838508768714
2351,11397,8801,7421,0,42.10215144565701,-83.4519719946652
2323,11709,9447,7040,0,42.10215144565701,-83.43555890164325
2631,12859,9850,7172,0,42.10215144565701,-83.41914580862131
2176,12894,9841,7465,0,42.10215144565701,-83.40273271559937
2541,12626,10531,7743,0,42.10215144565701,-83.38631962257743
2604,12415,10217,8076,0,42.10215144565701,-83.3699065295555
3970,14667,11790,11135,0,42.10215144565701,-83.35349343653354
2708,13184,9897,7420,0,42.10215144565701,-83.3370803435116
2424,13995,11489,8556,0,42.08573835263506,-83.56686364581878
2726,14738,10445,6984,0,42.08573835263506,-83.55045055279685
2552,13954,10296,7176,0,42.08573835263506,-83.53403745977491
2395,13211,9986,6386,0,42.08573835263506,-83.51762436675297
1753,13569,10148,6565,0,42.08573835263506,-83.50121127373103
1915,13702,10254,6980,0,42.08573835263506,-83.48479818070908
2074,13589,9817,6951,0,42.08573835263506,-83.46838508768714
2187,13166,9958,7451,0,42.08573835263506,-83.4519719946652
2424,12853,10337,7969,0,42.08573835263506,-83.43555890164325
4193,14562,10021,7803,0,42.08573835263506,-83.41914580862131
2241,13120,10101,7101,0,42.08573835263506,-83.40273271559937
2355,13085,10564,8298,0,42.08573835263506,-83.38631962257743
2901,12846,10943,9316,0,42.08573835263506,-83.3699065295555
2901,13602,10436,7688,0,42.08573835263506,-83.35349343653354
2334,11886,9119,6579,0,42.08573835263506,-83.3370803435116
1890,13323,10135,7172,0,42.06932525961312,-83.56686364581878
2006,14190,10476,7019,0,42.06932525961312,-83.55045055279685
2551,14017,10831,8306,0,42.06932525961312,-83.53403745977491
2526,14262,10695,7470,0,42.06932525961312,-83.51762436675297
1842,13185,9871,6418,0,42.06932525961312,-83.50121127373103
2446,13305,9849,65528,0,42.06932525961312,-83.48479818070908
2112,13353,9815,65528,0,42.06932525961312,-83.46838508768714
2518,12306,9895,65528,0,42.06932525961312,-83.4519719946652
2272,12877,10865,65528,0,42.06932525961312,-83.43555890164325
2277,12934,10800,65528,0,42.06932525961312,-83.41914580862131
1861,12529,9965,65528,0,42.06932525961312,-83.40273271559937
2535,13005,10102,6882,0,42.06932525961312,-83.38631962257743
2887,13368,9609,6284,0,42.06932525961312,-83.3699065295555
2887,13368,9609,6284,0,42.06932525961312,-83.35349343653354
2310,12308,9853,7360,0,42.06932525961312,-83.3370803435116
2747,14113,9817,65528,0,42.052912166591184,-83.56686364581878
2934,14317,10259,7004,0,42.052912166591184,-83.55045055279685
2312,13946,11022,7928,0,42.052912166591184,-83.53403745977491
2835,14401,11728,9160,0,42.052912166591184,-83.51762436675297
3425,13624,10808,8513,0,42.052912166591184,-83.50121127373103
2166,13364,10655,8030,0,42.052912166591184,-83.48479818070908
2454,12275,10259,8219,0,42.052912166591184,-83.46838508768714
2418,12844,10506,8901,0,42.052912166591184,-83.4519719946652
