band1, band2, band3, band4, isAlgalBloom, lat, long, prob isWater
4449,11992,7610,5308,0,41.64550127782344,-83.27794157096785,0.02
4449,11992,7610,5308,0,41.64550127782344,-83.26190736629928,0.02
4463,12110,9070,65528,0,41.62946707315487,-83.45431782232211,0.0
5525,13707,10466,65528,0,41.62946707315487,-83.43828361765354,0.0
5603,13938,10401,7838,0,41.62946707315487,-83.42224941298497,0.0
6826,15457,11540,7980,0,41.62946707315487,-83.40621520831641,0.0
6826,15457,11540,7980,0,41.62946707315487,-83.39018100364784,0.0
7964,16672,11985,7648,0,41.62946707315487,-83.37414679897927,0.0
7306,15987,12029,7457,0,41.62946707315487,-83.3581125943107,0.0
7621,16105,11411,7214,0,41.62946707315487,-83.34207838964213,0.0
7621,16105,11411,7214,0,41.62946707315487,-83.32604418497357,0.0
6162,14106,9661,6495,0,41.62946707315487,-83.310009980305,0.0
6462,14391,9925,6445,0,41.62946707315487,-83.29397577563643,0.0
5480,13000,8832,5754,0,41.62946707315487,-83.27794157096785,0.0
5480,13000,8832,5754,0,41.62946707315487,-83.26190736629928,0.0
4793,12746,9530,7206,0,41.6134328684863,-83.45431782232211,0.0
4793,12746,9530,7206,0,41.6134328684863,-83.43828361765354,0.0
5452,13819,10490,7644,0,41.6134328684863,-83.42224941298497,0.0
5452,13819,10490,7644,0,41.6134328684863,-83.40621520831641,0.0
6213,14781,11238,7555,0,41.6134328684863,-83.39018100364784,0.0
6260,14878,10958,7410,0,41.6134328684863,-83.37414679897927,0.0
7151,15898,11678,7282,0,41.6134328684863,-83.3581125943107,0.0
7151,15898,11678,7282,0,41.6134328684863,-83.34207838964213,0.0
7563,16159,11549,7093,0,41.6134328684863,-83.32604418497357,0.0
7441,16127,11496,65528,0,41.6134328684863,-83.310009980305,0.0
6210,14239,10079,65528,0,41.6134328684863,-83.29397577563643,0.0
6210,14239,10079,65528,0,41.6134328684863,-83.27794157096785,0.0
5220,13047,9232,65528,0,41.6134328684863,-83.26190736629928,0.0
4529,12494,9560,6980,0,41.597398663817735,-83.45431782232211,0.0
4635,12985,9816,6931,0,41.597398663817735,-83.43828361765354,0.0
6607,15370,10885,7591,0,41.597398663817735,-83.42224941298497,0.0
6607,15370,10885,7591,0,41.597398663817735,-83.40621520831641,0.0
6260,14878,10958,7410,0,41.597398663817735,-83.39018100364784,0.0
6668,15603,11357,65528,0,41.597398663817735,-83.37414679897927,0.0
7290,16252,11867,65528,0,41.597398663817735,-83.3581125943107,0.0
7337,16220,11826,65528,0,41.597398663817735,-83.34207838964213,0.0
7441,16127,11496,65528,0,41.597398663817735,-83.32604418497357,0.0
7180,15903,11367,7120,0,41.597398663817735,-83.310009980305,0.0
5710,13692,9651,6193,0,41.597398663817735,-83.29397577563643,0.0
5989,13908,9779,65528,0,41.597398663817735,-83.27794157096785,0.0
5271,12916,8998,65528,0,41.597398663817735,-83.26190736629928,0.01
4227,12290,8814,6247,0,41.58136445914917,-83.45431782232211,0.0
5028,13645,10498,65528,0,41.58136445914917,-83.43828361765354,0.0
5028,13645,10498,65528,0,41.58136445914917,-83.42224941298497,0.0
7108,16100,11566,65528,0,41.58136445914917,-83.40621520831641,0.0
7108,16100,11566,65528,0,41.58136445914917,-83.39018100364784,0.0
6603,15436,11386,65528,0,41.58136445914917,-83.37414679897927,0.0
6603,15436,11386,65528,0,41.58136445914917,-83.3581125943107,0.0
7337,16220,11826,65528,0,41.58136445914917,-83.34207838964213,0.0
